,dates,polarity
0,2012-01-28,0.12422347118369846
1,2012-01-29,0.09822253242788957
2,2012-01-30,0.09440311147186148
3,2012-01-31,0.14787700216450217
4,2012-02-01,0.168725231018981
5,2012-02-02,0.1283617724867725
6,2012-02-03,0.15815228732907305
7,2012-02-04,0.1463448086305229
8,2012-02-05,0.10650170958534928
9,2012-02-06,0.12979692589156874
10,2012-02-07,0.12609494378306876
11,2012-02-08,0.12425486311527978
12,2012-02-09,0.103545609152752
13,2012-02-10,0.1764400493025493
14,2012-02-11,0.144866108564638
15,2012-02-12,0.10104885590599877
16,2012-02-13,0.1901121663059163
17,2012-02-14,0.1843321262071262
18,2012-02-15,0.14581869288119287
19,2012-02-16,0.09568723695286195
20,2012-02-17,0.13063665824915824
21,2012-02-18,0.08168728819581092
22,2012-02-19,0.15608154246547104
23,2012-02-20,0.1666907821209292
24,2012-02-21,0.13883247955747954
25,2012-02-22,0.17540156093906095
26,2012-02-23,0.13280161736411736
27,2012-02-24,0.17185715788840789
28,2012-02-25,0.09628435018592825
29,2012-02-26,0.10922073112073112
30,2012-02-27,0.1427780303030303
31,2012-02-28,0.12404778567992852
32,2012-02-29,0.13985253427128427
33,2012-03-01,0.15552194203944203
34,2012-03-02,0.1269506010358689
35,2012-03-03,0.1448470516411693
36,2012-03-04,0.0923324338949339
37,2012-03-05,0.10139632034632035
38,2012-03-06,0.12211258567821068
39,2012-03-07,0.12852016835016836
40,2012-03-08,0.17736973304473302
41,2012-03-09,0.1786755741943242
42,2012-03-10,0.09817692338525671
43,2012-03-11,0.09365014050653932
44,2012-03-12,0.11935891053391053
45,2012-03-13,0.12903654401154402
46,2012-03-14,0.13587227633477633
47,2012-03-15,0.1463357263107263
48,2012-03-16,0.1042529113413042
49,2012-03-17,0.14148499712735824
50,2012-03-18,0.1182884427778794
51,2012-03-19,0.13348882167766096
52,2012-03-20,0.11768079004329005
53,2012-03-21,0.1525760070947571
54,2012-03-22,0.15831182127396415
55,2012-03-23,0.11396195586820587
56,2012-03-24,0.0729870007995008
57,2012-03-25,0.09278484358576951
58,2012-03-26,0.08482539167182024
59,2012-03-27,0.14563546476671477
60,2012-03-28,0.07464133168418882
61,2012-03-29,0.13312885401635402
62,2012-03-30,0.1886639850889851
63,2012-03-31,0.08876956947162427
64,2012-04-01,0.14053046516529663
65,2012-04-02,0.1348486304370233
66,2012-04-03,0.17026683802308804
67,2012-04-04,0.1373470689033189
68,2012-04-05,0.10624535834535834
69,2012-04-06,0.11728043101078817
70,2012-04-07,0.15677547922629892
71,2012-04-08,0.11974935778507206
72,2012-04-09,0.13609217429396
73,2012-04-10,0.12624531024531024
74,2012-04-11,0.12387523703148703
75,2012-04-12,0.1034001473063973
76,2012-04-13,0.12501645021645022
77,2012-04-14,0.13575288027668977
78,2012-04-15,0.05654941382553324
79,2012-04-16,0.12252832930957931
80,2012-04-17,0.14985608379715523
81,2012-04-18,0.14666388603294853
82,2012-04-19,0.1765555668290043
83,2012-04-20,0.1756098484848485
84,2012-04-21,0.10947556786842501
85,2012-04-22,0.1404764842690979
86,2012-04-23,0.12989351551226552
87,2012-04-24,0.17293972402597405
88,2012-04-25,0.12992172032828284
89,2012-04-26,0.16761667117604617
90,2012-04-27,0.11423858525733525
91,2012-04-28,0.10566921960836434
92,2012-04-29,0.16448981003775523
93,2012-04-30,0.12464305254930254
94,2012-05-01,0.15127107984607985
95,2012-05-02,0.12897049062049062
96,2012-05-03,0.14439344137344137
97,2012-05-04,0.13253724446849446
98,2012-05-05,0.1565722964636008
99,2012-05-06,0.10816838754338755
100,2012-05-07,0.1612773165326737
101,2012-05-08,0.09580642827080327
102,2012-05-09,0.20512784992784994
103,2012-05-10,0.16480303270803273
104,2012-05-11,0.13044296236171238
105,2012-05-12,0.12383029254039891
106,2012-05-13,0.13438413946463187
107,2012-05-14,0.13180483405483406
108,2012-05-15,0.14741534692159694
109,2012-05-16,0.11704227994227993
110,2012-05-17,0.08113924062049062
111,2012-05-18,0.13583242180577706
112,2012-05-19,0.13832150732678902
113,2012-05-20,0.130537100751653
114,2012-05-21,0.15272094095719096
115,2012-05-22,0.12814566777468564
116,2012-05-23,0.14937726972101972
117,2012-05-24,0.1362648318502485
118,2012-05-25,0.1450543650793651
119,2012-05-26,0.16464854325568612
120,2012-05-27,0.16577267917267918
121,2012-05-28,0.13655460484052676
122,2012-05-29,0.12074068963443964
123,2012-05-30,0.1947789321789322
124,2012-05-31,0.16605614417989417
125,2012-06-01,0.1731487012987013
126,2012-06-02,0.13102073617472168
127,2012-06-03,0.112055152244759
128,2012-06-04,0.12261724987974988
129,2012-06-05,0.09937045778295778
130,2012-06-06,0.1420492006670578
131,2012-06-07,0.1166092757936508
132,2012-06-08,0.13044365620490622
133,2012-06-09,0.09616391305343687
134,2012-06-10,0.1605275885606768
135,2012-06-11,0.15288022741147742
136,2012-06-12,0.16929046115921118
137,2012-06-13,0.15237975932797362
138,2012-06-14,0.11907743506493507
139,2012-06-15,0.1507189003126503
140,2012-06-16,0.12533853205364834
141,2012-06-17,0.14091939672017798
142,2012-06-18,0.17226714573455645
143,2012-06-19,0.16914824675324674
144,2012-06-20,0.1395015873015873
145,2012-06-21,0.1498198593073593
146,2012-06-22,0.14222646762959262
147,2012-06-23,0.1580327581369248
148,2012-06-24,0.11897832049486462
149,2012-06-25,0.15191979617604617
150,2012-06-26,0.1776699963924964
151,2012-06-27,0.16292667491238919
152,2012-06-28,0.14290891955266954
153,2012-06-29,0.14028673584638238
154,2012-06-30,0.13549942704354467
